"Time (s) 0","Angle, Ch P1 (rad) 0","Time (s) 0.04","Angle, Ch P1 (rad) 0.04","Time (s) 0.06","Angle, Ch P1 (rad) 0.06","Time (s) 0.1","Angle, Ch P1 (rad) 0.1","Time (s) 0.15","Angle, Ch P1 (rad) 0.15","Time (s) 0.2","Angle, Ch P1 (rad) 0.2","Time (s) 0.25","Angle, Ch P1 (rad) 0.25","Time (s) 0.3","Angle, Ch P1 (rad) 0.3","Time (s) 0.35","Angle, Ch P1 (rad) 0.35","Time (s) 0.4","Angle, Ch P1 (rad) 0.4","Time (s) 0.44","Angle, Ch P1 (rad) 0.44","Time (s) 0.46","Angle, Ch P1 (rad) 0.46","Time (s) 0.47","Angle, Ch P1 (rad) 0.47","Time (s) 0.49","Angle, Ch P1 (rad) 0.49","Time (s) 0.52","Angle, Ch P1 (rad) 0.52","Time (s) 0.51","Angle, Ch P1 (rad) 0.51","Time (s) 0.5","Angle, Ch P1 (rad) 0.5"
6.080,-0.0424115325,6.080,-0.0172787725,6.080,1.5178830415E-17,6.080,0.1429425725,6.080,0.1775001175,6.080,-0.2120576625,,,,,,,,,,,6.080,0.0691150900,6.080,0.0109955825,6.080,-0.0125663800,6.080,0.0235619625,6.080,-0.0267035575,6.080,0.0329867475
6.090,-0.0392699375,6.090,-0.0204203675,6.090,0.0015707975,6.090,0.1413717750,6.090,0.1712169275,6.090,-0.2057744725,,,,,,,,,,,6.090,0.0596903050,6.090,0.0047123925,6.090,-0.0157079750,6.090,0.0298451525,6.090,-0.0345575450,6.090,0.0455531275
6.100,-0.0376991400,6.100,-0.0235619625,6.100,0.0031415950,6.100,0.1413717750,6.100,0.1649337375,6.100,-0.1994912825,,,,,,,,,,,6.100,0.0486947225,6.100,-6.9388939039E-18,6.100,-0.0204203675,6.100,0.0361283425,6.100,-0.0424115325,6.100,0.0581195075
6.110,-0.0345575450,6.110,-0.0267035575,6.110,0.0047123925,6.110,0.1398009775,6.110,0.1586505475,6.110,-0.1932080925,,,,,,,,,,,6.110,0.0392699375,6.110,-0.0062831900,6.110,-0.0235619625,6.110,0.0424115325,6.110,-0.0518363175,6.110,0.0706858875
6.120,-0.0329867475,6.120,-0.0298451525,6.120,0.0078539875,6.120,0.1382301800,6.120,0.1507965600,6.120,-0.1869249025,,,,,,,,,,,6.120,0.0298451525,6.120,-0.0125663800,6.120,-0.0282743550,6.120,0.0502655200,6.120,-0.0596903050,6.120,0.0816814700
6.130,-0.0298451525,6.130,-0.0329867475,6.130,0.0094247850,6.130,0.1366593825,6.130,0.1445133700,6.130,-0.1790709150,,,,,,,,,,,6.130,0.0204203675,6.130,-0.0188495700,6.130,-0.0329867475,6.130,0.0565487100,6.130,-0.0675442925,6.130,0.0926770525
6.140,-0.0267035575,6.140,-0.0361283425,6.140,0.0125663800,6.140,0.1350885850,6.140,0.1366593825,6.140,-0.1727877250,,,,,,,,,,,6.140,0.0125663800,6.140,-0.0251327600,6.140,-0.0376991400,6.140,0.0644026975,6.140,-0.0753982800,6.140,0.1052434325
6.150,-0.0235619625,6.150,-0.0392699375,6.150,0.0157079750,6.150,0.1319469900,6.150,0.1288053950,6.150,-0.1665045350,,,,,,,,,,,6.150,0.0031415950,6.150,-0.0314159500,6.150,-0.0424115325,6.150,0.0706858875,6.150,-0.0832522675,6.150,0.1162390150
6.160,-0.0204203675,6.160,-0.0439823300,6.160,0.0188495700,6.160,0.1303761925,6.160,0.1209514075,6.160,-0.1586505475,,,,,,,,,,,6.160,-0.0062831900,6.160,-0.0376991400,6.160,-0.0486947225,6.160,0.0785398750,6.160,-0.0895354575,6.160,0.1272345975
6.170,-0.0172787725,6.170,-0.0471239250,6.170,0.0219911650,6.170,0.1272345975,6.170,0.1130974200,6.170,-0.1523673575,,,,,,,,,,,6.170,-0.0141371775,6.170,-0.0439823300,6.170,-0.0549779125,6.170,0.0863938625,6.170,-0.0973894450,6.170,0.1382301800
6.180,-0.0141371775,,,6.180,0.0251327600,6.180,0.1240930025,6.180,0.1052434325,6.180,-0.1460841675,,,,,,,,,,,6.180,-0.0219911650,6.180,-0.0502655200,6.180,-0.0612611025,6.180,0.0926770525,6.180,-0.1036726350,6.180,0.1507965600
6.190,-0.0094247850,,,6.190,0.0282743550,6.190,0.1209514075,6.190,0.0973894450,6.190,-0.1382301800,,,,,,,,,,,6.190,-0.0298451525,6.190,-0.0565487100,6.190,-0.0659734950,6.190,0.1005310400,6.190,-0.1115266225,6.190,0.1602213450
6.200,-0.0062831900,,,6.200,0.0329867475,6.200,0.1162390150,6.200,0.0895354575,6.200,-0.1319469900,,,,,,,,,,,6.200,-0.0376991400,6.200,-0.0644026975,6.200,-0.0722566850,6.200,0.1068142300,6.200,-0.1178098125,6.200,0.1712169275
6.210,-0.0015707975,,,6.210,0.0361283425,6.210,0.1130974200,6.210,0.0816814700,6.210,-0.1256638000,,,,,,,,,,,6.210,-0.0439823300,6.210,-0.0706858875,6.210,-0.0801106725,6.210,0.1146682175,6.210,-0.1240930025,6.210,0.1806417125
6.220,0.0015707975,,,6.220,0.0408407350,6.220,0.1083850275,6.220,0.0738274825,6.220,-0.1178098125,,,,,,,,,,,6.220,-0.0502655200,6.220,-0.0769690775,6.220,-0.0863938625,6.220,0.1209514075,6.220,-0.1288053950,6.220,0.1900664975
6.230,0.0062831900,,,6.230,0.0439823300,6.230,0.1036726350,6.230,0.0644026975,6.230,-0.1115266225,,,,,,,,,,,6.230,-0.0565487100,6.230,-0.0832522675,6.230,-0.0926770525,6.230,0.1272345975,6.230,-0.1350885850,6.230,0.1979204850
6.240,0.0094247850,,,6.240,0.0486947225,6.240,0.0989602425,6.240,0.0565487100,6.240,-0.1052434325,,,,,,,,,,,6.240,-0.0612611025,6.240,-0.0895354575,6.240,-0.1005310400,6.240,0.1350885850,6.240,-0.1413717750,6.240,0.2042036750
6.250,0.0141371775,,,6.250,0.0534071150,6.250,0.0942478500,6.250,0.0486947225,6.250,-0.0973894450,,,,,,,,,,,6.250,-0.0659734950,6.250,-0.0958186475,6.250,-0.1068142300,6.250,0.1413717750,6.250,-0.1476549650,6.250,0.2120576625
6.260,0.0188495700,,,6.260,0.0565487100,6.260,0.0895354575,6.260,0.0392699375,6.260,-0.0911062550,,,,,,,,,,,6.260,-0.0706858875,6.260,-0.1021018375,6.260,-0.1146682175,6.260,0.1460841675,6.260,-0.1539381550,6.260,0.2183408525
6.270,0.0235619625,,,6.270,0.0612611025,6.270,0.0832522675,6.270,0.0314159500,6.270,-0.0848230650,,,,,,,,,,,6.270,-0.0738274825,6.270,-0.1083850275,6.270,-0.1209514075,6.270,0.1523673575,6.270,-0.1586505475,6.270,0.2246240425
6.280,0.0267035575,,,6.280,0.0659734950,6.280,0.0769690775,6.280,0.0235619625,6.280,-0.0785398750,,,,,,,,,,,6.280,-0.0769690775,6.280,-0.1146682175,6.280,-0.1288053950,6.280,0.1570797500,6.280,-0.1633629400,6.280,0.2293364350
6.290,0.0314159500,,,6.290,0.0706858875,6.290,0.0722566850,6.290,0.0141371775,6.290,-0.0722566850,,,,,,,,,,,6.290,-0.0801106725,6.290,-0.1193806100,6.290,-0.1350885850,6.290,0.1617921425,6.290,-0.1665045350,6.290,0.2324780300
6.300,0.0361283425,,,6.300,0.0769690775,6.300,0.0659734950,6.300,0.0062831900,6.300,-0.0659734950,,,,,,,,,,,6.300,-0.0816814700,6.300,-0.1256638000,6.300,-0.1429425725,6.300,0.1665045350,6.300,-0.1696461300,6.300,0.2356196250
6.310,0.0408407350,,,6.310,0.0816814700,6.310,0.0596903050,6.310,-0.0015707975,6.310,-0.0612611025,,,,,,,,,,,6.310,-0.0832522675,6.310,-0.1303761925,6.310,-0.1492257625,6.310,0.1712169275,6.310,-0.1727877250,6.310,0.2387612200
6.320,0.0455531275,,,6.320,0.0863938625,6.320,0.0534071150,6.320,-0.0094247850,6.320,-0.0549779125,,,,,,,,,,,6.320,-0.0832522675,6.320,-0.1350885850,6.320,-0.1555089525,6.320,0.1759293200,6.320,-0.1759293200,6.320,0.2403320175
6.330,0.0502655200,,,6.330,0.0911062550,6.330,0.0471239250,6.330,-0.0172787725,6.330,-0.0502655200,,,,,,,,,,,6.330,-0.0832522675,6.330,-0.1398009775,6.330,-0.1633629400,6.330,0.1806417125,6.330,-0.1790709150,6.330,0.2403320175
6.340,0.0549779125,,,6.340,0.0958186475,6.340,0.0392699375,6.340,-0.0251327600,6.340,-0.0439823300,,,,,,,,,,,6.340,-0.0832522675,6.340,-0.1445133700,6.340,-0.1696461300,6.340,0.1837833075,6.340,-0.1806417125,6.340,0.2403320175
6.350,0.0596903050,,,6.350,0.1021018375,6.350,0.0329867475,6.350,-0.0329867475,6.350,-0.0392699375,,,,,,,,,,,6.350,-0.0816814700,6.350,-0.1476549650,6.350,-0.1759293200,6.350,0.1869249025,6.350,-0.1822125100,6.350,0.2403320175
6.360,0.0644026975,,,6.360,0.1068142300,6.360,0.0267035575,6.360,-0.0392699375,6.360,-0.0345575450,,,,,,,,,,,6.360,-0.0801106725,6.360,-0.1523673575,6.360,-0.1806417125,6.360,0.1900664975,6.360,-0.1837833075,6.360,0.2387612200
6.370,0.0691150900,,,6.370,0.1115266225,6.370,0.0188495700,6.370,-0.0471239250,6.370,-0.0298451525,,,,,,,,,,,6.370,-0.0785398750,6.370,-0.1555089525,6.370,-0.1869249025,6.370,0.1932080925,6.370,-0.1837833075,6.370,0.2371904225
6.380,0.0738274825,,,6.380,0.1162390150,6.380,0.0125663800,6.380,-0.0534071150,6.380,-0.0267035575,,,,,,,,,,,6.380,-0.0753982800,6.380,-0.1586505475,6.380,-0.1916372950,6.380,0.1947788900,6.380,-0.1822125100,6.380,0.2340488275
6.390,0.0785398750,,,6.390,0.1225222050,6.390,0.0047123925,6.390,-0.0612611025,6.390,-0.0219911650,,,,,,,,,,,6.390,-0.0722566850,6.390,-0.1602213450,6.390,-0.1963496875,6.390,0.1963496875,6.390,-0.1822125100,6.390,0.2293364350
6.400,0.0832522675,,,6.400,0.1272345975,6.400,-0.0031415950,6.400,-0.0675442925,6.400,-0.0188495700,,,,,,,,,,,6.400,-0.0675442925,6.400,-0.1633629400,6.400,-0.1994912825,6.400,0.1979204850,6.400,-0.1806417125,6.400,0.2246240425
6.410,0.0879646600,,,6.410,0.1319469900,6.410,-0.0094247850,6.410,-0.0738274825,6.410,-0.0141371775,,,,,,,,,,,6.410,-0.0628319000,6.410,-0.1649337375,6.410,-0.2042036750,6.410,0.1979204850,6.410,-0.1790709150,6.410,0.2199116500
6.420,0.0926770525,,,6.420,0.1382301800,6.420,-0.0172787725,6.420,-0.0801106725,6.420,-0.0109955825,,,,,,,,,,,6.420,-0.0581195075,6.420,-0.1665045350,6.420,-0.2073452700,6.420,0.1979204850,6.420,-0.1775001175,6.420,0.2136284600
6.430,0.0958186475,,,6.430,0.1429425725,6.430,-0.0251327600,6.430,-0.0848230650,6.430,-0.0078539875,,,,,,,,,,,6.430,-0.0518363175,6.430,-0.1665045350,6.430,-0.2120576625,6.430,0.1979204850,6.430,-0.1743585225,6.430,0.2073452700
6.440,0.1005310400,,,6.440,0.1476549650,6.440,-0.0314159500,6.440,-0.0911062550,6.440,-0.0062831900,,,,,,,,,,,6.440,-0.0455531275,6.440,-0.1680753325,6.440,-0.2151992575,6.440,0.1979204850,6.440,-0.1712169275,6.440,0.1994912825
6.450,0.1052434325,,,6.450,0.1523673575,6.450,-0.0392699375,6.450,-0.0958186475,6.450,-0.0031415950,,,,,,,,,,,6.450,-0.0392699375,6.450,-0.1680753325,6.450,-0.2183408525,6.450,0.1963496875,6.450,-0.1680753325,6.450,0.1916372950
6.460,0.1099558250,,,6.460,0.1570797500,6.460,-0.0471239250,6.460,-0.1005310400,6.460,-0.0015707975,,,,,,,,,,,6.460,-0.0329867475,6.460,-0.1680753325,6.460,-0.2214824475,6.460,0.1947788900,6.460,-0.1633629400,6.460,0.1822125100
6.470,0.1146682175,,,6.470,0.1633629400,6.470,-0.0534071150,6.470,-0.1052434325,6.470,-9.5409791179E-18,,,,,,,,,,,6.470,-0.0251327600,6.470,-0.1665045350,6.470,-0.2230532450,6.470,0.1932080925,6.470,-0.1586505475,6.470,0.1727877250
6.480,0.1178098125,,,6.480,0.1680753325,6.480,-0.0612611025,6.480,-0.1099558250,6.480,0.0015707975,,,,,,,,,,,6.480,-0.0172787725,6.480,-0.1665045350,6.480,-0.2246240425,6.480,0.1900664975,6.480,-0.1539381550,6.480,0.1633629400
6.490,0.1225222050,,,6.490,0.1727877250,6.490,-0.0691150900,6.490,-0.1146682175,6.490,0.0015707975,,,,,,,,,,,6.490,-0.0078539875,6.490,-0.1649337375,6.490,-0.2261948400,,,6.490,-0.1492257625,6.490,0.1523673575
6.500,0.1272345975,,,6.500,0.1775001175,6.500,-0.0753982800,6.500,-0.1178098125,6.500,0.0031415950,,,,,,,,,,,6.500,2.4286128664E-17,6.500,-0.1633629400,6.500,-0.2277656375,,,6.500,-0.1445133700,6.500,0.1413717750
6.510,0.1303761925,,,6.510,0.1806417125,6.510,-0.0832522675,6.510,-0.1209514075,6.510,0.0031415950,,,,,,,,,,,6.510,0.0094247850,6.510,-0.1602213450,6.510,-0.2277656375,,,6.510,-0.1382301800,6.510,0.1303761925
6.520,0.1335177875,,,6.520,0.1853541050,6.520,-0.0895354575,6.520,-0.1240930025,6.520,0.0031415950,,,,,,,,,,,6.520,0.0172787725,6.520,-0.1586505475,6.520,-0.2277656375,,,6.520,-0.1319469900,6.520,0.1193806100
6.530,0.1382301800,,,6.530,0.1900664975,6.530,-0.0958186475,6.530,-0.1272345975,6.530,0.0031415950,,,,,,,,,,,6.530,0.0267035575,6.530,-0.1555089525,6.530,-0.2277656375,,,6.530,-0.1256638000,6.530,0.1068142300
6.540,0.1413717750,,,6.540,0.1947788900,6.540,-0.1036726350,6.540,-0.1288053950,6.540,0.0031415950,,,,,,,,,,,6.540,0.0376991400,6.540,-0.1523673575,6.540,-0.2277656375,,,6.540,-0.1178098125,6.540,0.0942478500
6.550,0.1445133700,,,6.550,0.1979204850,6.550,-0.1099558250,6.550,-0.1303761925,6.550,0.0015707975,,,,,,,,,,,6.550,0.0471239250,6.550,-0.1476549650,6.550,-0.2261948400,,,6.550,-0.1115266225,6.550,0.0816814700
6.560,0.1476549650,,,6.560,0.2026328775,6.560,-0.1162390150,6.560,-0.1319469900,6.560,-9.5409791179E-18,,,,,,,,,,,6.560,0.0565487100,6.560,-0.1445133700,6.560,-0.2246240425,,,6.560,-0.1036726350,6.560,0.0691150900
6.570,0.1507965600,,,6.570,0.2057744725,6.570,-0.1225222050,6.570,-0.1335177875,6.570,-0.0015707975,,,,,,,,,,,6.570,0.0675442925,6.570,-0.1398009775,6.570,-0.2230532450,,,6.570,-0.0973894450,6.570,0.0565487100
6.580,0.1539381550,,,6.580,0.2089160675,6.580,-0.1288053950,6.580,-0.1335177875,6.580,-0.0031415950,,,,,,,,,,,6.580,0.0769690775,6.580,-0.1350885850,6.580,-0.2199116500,,,6.580,-0.0895354575,6.580,0.0424115325
6.590,0.1570797500,,,6.590,0.2120576625,6.590,-0.1350885850,6.590,-0.1350885850,6.590,-0.0047123925,,,,,,,,,,,6.590,0.0863938625,6.590,-0.1303761925,6.590,-0.2167700550,,,6.590,-0.0816814700,6.590,0.0298451525
6.600,0.1602213450,,,6.600,0.2151992575,6.600,-0.1398009775,6.600,-0.1350885850,6.600,-0.0078539875,,,,,,,,,,,6.600,0.0973894450,6.600,-0.1256638000,6.600,-0.2136284600,,,6.600,-0.0738274825,6.600,0.0172787725
6.610,0.1633629400,,,6.610,0.2183408525,6.610,-0.1460841675,6.610,-0.1335177875,6.610,-0.0094247850,,,,,,,,,,,6.610,0.1068142300,6.610,-0.1193806100,6.610,-0.2104868650,,,6.610,-0.0644026975,6.610,0.0047123925
6.620,0.1649337375,,,6.620,0.2214824475,6.620,-0.1507965600,6.620,-0.1335177875,6.620,-0.0125663800,,,,,,,,,,,6.620,0.1162390150,6.620,-0.1146682175,6.620,-0.2057744725,,,6.620,-0.0565487100,6.620,-0.0078539875
6.630,0.1680753325,,,6.630,0.2246240425,6.630,-0.1555089525,6.630,-0.1319469900,6.630,-0.0157079750,,,,,,,,,,,6.630,0.1256638000,6.630,-0.1083850275,6.630,-0.2026328775,,,6.630,-0.0486947225,6.630,-0.0204203675
6.640,0.1696461300,,,6.640,0.2277656375,6.640,-0.1602213450,6.640,-0.1303761925,6.640,-0.0204203675,,,,,,,,,,,6.640,0.1350885850,6.640,-0.1021018375,6.640,-0.1979204850,,,6.640,-0.0408407350,6.640,-0.0329867475
6.650,0.1712169275,,,6.650,0.2293364350,6.650,-0.1649337375,6.650,-0.1288053950,6.650,-0.0235619625,,,,,,,,,,,6.650,0.1445133700,6.650,-0.0958186475,6.650,-0.1916372950,,,6.650,-0.0329867475,6.650,-0.0439823300
6.660,0.1727877250,,,6.660,0.2309072325,6.660,-0.1680753325,6.660,-0.1272345975,6.660,-0.0282743550,,,,,,,,,,,6.660,0.1539381550,6.660,-0.0895354575,6.660,-0.1869249025,,,6.660,-0.0251327600,6.660,-0.0549779125
6.670,0.1743585225,,,6.670,0.2340488275,6.670,-0.1727877250,6.670,-0.1240930025,6.670,-0.0329867475,,,,,,,,,,,6.670,0.1633629400,6.670,-0.0832522675,6.670,-0.1806417125,,,6.670,-0.0188495700,6.670,-0.0659734950
6.680,0.1759293200,,,6.680,0.2356196250,6.680,-0.1759293200,6.680,-0.1209514075,6.680,-0.0376991400,,,,,,,,,,,6.680,0.1712169275,6.680,-0.0769690775,,,,,6.680,-0.0109955825,6.680,-0.0769690775
6.690,0.1775001175,,,6.690,0.2371904225,6.690,-0.1790709150,6.690,-0.1178098125,6.690,-0.0424115325,,,,,,,,,,,6.690,0.1806417125,6.690,-0.0706858875,,,,,6.690,-0.0047123925,6.690,-0.0879646600
6.700,0.1790709150,,,6.700,0.2371904225,6.700,-0.1822125100,6.700,-0.1146682175,6.700,-0.0471239250,,,,,,,,,,,6.700,0.1884957000,6.700,-0.0644026975,,,,,6.700,0.0031415950,6.700,-0.0973894450
6.710,0.1790709150,,,6.710,0.2387612200,6.710,-0.1853541050,6.710,-0.1099558250,6.710,-0.0518363175,,,,,,,,,,,6.710,0.1963496875,6.710,-0.0581195075,,,,,6.710,0.0094247850,6.710,-0.1083850275
6.720,0.1806417125,,,6.720,0.2403320175,6.720,-0.1884957000,6.720,-0.1052434325,6.720,-0.0581195075,,,,,,,,,,,6.720,0.2026328775,6.720,-0.0502655200,,,,,6.720,0.0157079750,6.720,-0.1178098125
6.730,0.1806417125,,,6.730,0.2403320175,6.730,-0.1900664975,6.730,-0.1021018375,6.730,-0.0628319000,,,,,,,,,,,6.730,0.2104868650,6.730,-0.0439823300,,,,,6.730,0.0204203675,6.730,-0.1272345975
6.740,0.1806417125,,,6.740,0.2419028150,6.740,-0.1932080925,6.740,-0.0958186475,6.740,-0.0691150900,,,,,,,,,,,6.740,0.2167700550,6.740,-0.0376991400,,,,,6.740,0.0267035575,6.740,-0.1350885850
6.750,0.1806417125,,,6.750,0.2419028150,6.750,-0.1947788900,6.750,-0.0911062550,6.750,-0.0753982800,,,,,,,,,,,6.750,0.2214824475,6.750,-0.0314159500,,,,,6.750,0.0329867475,6.750,-0.1429425725
6.760,0.1806417125,,,6.760,0.2419028150,6.760,-0.1963496875,6.760,-0.0863938625,6.760,-0.0816814700,,,,,,,,,,,6.760,0.2261948400,6.760,-0.0251327600,,,,,6.760,0.0392699375,6.760,-0.1492257625
6.770,0.1806417125,,,6.770,0.2419028150,6.770,-0.1963496875,6.770,-0.0801106725,6.770,-0.0879646600,,,,,,,,,,,6.770,0.2309072325,6.770,-0.0188495700,,,,,6.770,0.0439823300,6.770,-0.1555089525
6.780,0.1806417125,,,6.780,0.2403320175,6.780,-0.1979204850,6.780,-0.0738274825,6.780,-0.0942478500,,,,,,,,,,,6.780,0.2356196250,6.780,-0.0125663800,,,,,6.780,0.0502655200,6.780,-0.1617921425
6.790,0.1790709150,,,6.790,0.2403320175,6.790,-0.1979204850,6.790,-0.0675442925,6.790,-0.1005310400,,,,,,,,,,,6.790,0.2387612200,6.790,-0.0062831900,,,,,6.790,0.0534071150,6.790,-0.1665045350
6.800,0.1790709150,,,6.800,0.2387612200,6.800,-0.1979204850,6.800,-0.0612611025,6.800,-0.1083850275,,,,,,,,,,,6.800,0.2419028150,6.800,-0.0015707975,,,,,6.800,0.0581195075,6.800,-0.1696461300
6.810,0.1775001175,,,6.810,0.2387612200,6.810,-0.1979204850,6.810,-0.0534071150,6.810,-0.1146682175,,,,,,,,,,,6.810,0.2450444100,6.810,0.0047123925,,,,,6.810,0.0612611025,6.810,-0.1743585225
6.820,0.1775001175,,,6.820,0.2371904225,6.820,-0.1979204850,6.820,-0.0471239250,6.820,-0.1209514075,,,,,,,,,,,6.820,0.2466152075,6.820,0.0094247850,,,,,6.820,0.0644026975,6.820,-0.1775001175
6.830,0.1759293200,,,6.830,0.2356196250,6.830,-0.1963496875,6.830,-0.0392699375,6.830,-0.1288053950,,,,,,,,,,,6.830,0.2466152075,6.830,0.0141371775,,,,,6.830,0.0675442925,6.830,-0.1775001175
6.840,0.1743585225,,,6.840,0.2340488275,6.840,-0.1963496875,6.840,-0.0329867475,6.840,-0.1350885850,,,,,,,,,,,6.840,0.2481860050,6.840,0.0188495700,,,,,6.840,0.0691150900,6.840,-0.1790709150
6.850,0.1727877250,,,6.850,0.2324780300,6.850,-0.1947788900,6.850,-0.0251327600,6.850,-0.1413717750,,,,,,,,,,,6.850,0.2481860050,6.850,0.0235619625,,,,,6.850,0.0722566850,6.850,-0.1790709150
6.860,0.1712169275,,,6.860,0.2293364350,6.860,-0.1932080925,6.860,-0.0172787725,6.860,-0.1492257625,,,,,,,,,,,6.860,0.2466152075,6.860,0.0282743550,,,,,6.860,0.0738274825,6.860,-0.1775001175
6.870,0.1680753325,,,6.870,0.2277656375,6.870,-0.1900664975,6.870,-0.0094247850,6.870,-0.1555089525,,,,,,,,,,,6.870,0.2466152075,6.870,0.0314159500,,,,,6.870,0.0738274825,6.870,-0.1759293200
6.880,0.1665045350,,,6.880,0.2246240425,6.880,-0.1884957000,6.880,-0.0015707975,6.880,-0.1617921425,,,,,,,,,,,6.880,0.2450444100,6.880,0.0345575450,,,,,6.880,0.0738274825,6.880,-0.1743585225
6.890,0.1633629400,,,6.890,0.2230532450,6.890,-0.1853541050,6.890,0.0062831900,6.890,-0.1696461300,,,,,,,,,,,6.890,0.2419028150,6.890,0.0376991400,,,,,6.890,0.0738274825,6.890,-0.1712169275
6.900,0.1617921425,,,6.900,0.2199116500,6.900,-0.1822125100,6.900,0.0141371775,6.900,-0.1759293200,,,,,,,,,,,6.900,0.2387612200,6.900,0.0408407350,,,,,6.900,0.0738274825,6.900,-0.1680753325
6.910,0.1586505475,,,6.910,0.2167700550,6.910,-0.1790709150,6.910,0.0235619625,6.910,-0.1822125100,,,,,,,,,,,6.910,0.2356196250,6.910,0.0439823300,,,,,6.910,0.0722566850,6.910,-0.1633629400
6.920,0.1555089525,,,6.920,0.2136284600,6.920,-0.1759293200,6.920,0.0314159500,6.920,-0.1900664975,,,,,,,,,,,6.920,0.2309072325,6.920,0.0455531275,,,,,6.920,0.0706858875,6.920,-0.1570797500
6.930,0.1523673575,,,6.930,0.2104868650,6.930,-0.1712169275,6.930,0.0392699375,6.930,-0.1963496875,,,,,,,,,,,6.930,0.2261948400,6.930,0.0471239250,,,,,6.930,0.0691150900,6.930,-0.1523673575
6.940,0.1492257625,,,6.940,0.2073452700,6.940,-0.1680753325,6.940,0.0486947225,6.940,-0.2026328775,,,,,,,,,,,6.940,0.2214824475,6.940,0.0486947225,,,,,6.940,0.0659734950,6.940,-0.1445133700
6.950,0.1460841675,,,6.950,0.2026328775,6.950,-0.1633629400,6.950,0.0565487100,6.950,-0.2089160675,,,,,,,,,,,6.950,0.2167700550,6.950,0.0486947225,,,,,6.950,0.0628319000,6.950,-0.1382301800
6.960,0.1429425725,,,6.960,0.1994912825,6.960,-0.1586505475,6.960,0.0644026975,6.960,-0.2136284600,,,,,,,,,,,6.960,0.2104868650,6.960,0.0486947225,,,,,6.960,0.0596903050,6.960,-0.1303761925
6.970,0.1398009775,,,6.970,0.1947788900,6.970,-0.1539381550,6.970,0.0722566850,6.970,-0.2199116500,,,,,,,,,,,6.970,0.2026328775,6.970,0.0486947225,,,,,6.970,0.0549779125,6.970,-0.1209514075
6.980,0.1366593825,,,6.980,0.1916372950,6.980,-0.1492257625,6.980,0.0816814700,6.980,-0.2261948400,,,,,,,,,,,6.980,0.1963496875,,,,,,,6.980,0.0502655200,6.980,-0.1115266225
6.990,0.1319469900,,,6.990,0.1869249025,6.990,-0.1429425725,6.990,0.0895354575,6.990,-0.2309072325,,,,,,,,,,,6.990,0.1884957000,,,,,,,6.990,0.0455531275,6.990,-0.1021018375
7.000,0.1288053950,,,7.000,0.1822125100,7.000,-0.1382301800,7.000,0.0973894450,7.000,-0.2371904225,,,,,,,,,,,7.000,0.1806417125,,,,,,,7.000,0.0408407350,7.000,-0.0911062550
7.010,0.1240930025,,,7.010,0.1775001175,7.010,-0.1319469900,7.010,0.1052434325,7.010,-0.2419028150,,,,,,,,,,,7.010,0.1727877250,,,,,,,7.010,0.0361283425,7.010,-0.0801106725
7.020,0.1209514075,,,7.020,0.1727877250,7.020,-0.1256638000,7.020,0.1130974200,7.020,-0.2466152075,,,,,,,,,,,7.020,0.1633629400,,,,,,,7.020,0.0298451525,7.020,-0.0691150900
7.030,0.1162390150,,,7.030,0.1680753325,7.030,-0.1193806100,7.030,0.1209514075,7.030,-0.2513276000,,,,,,,,,,,7.030,0.1555089525,,,,,,,7.030,0.0235619625,7.030,-0.0581195075
7.040,0.1115266225,,,7.040,0.1633629400,7.040,-0.1130974200,7.040,0.1288053950,7.040,-0.2560399925,,,,,,,,,,,7.040,0.1460841675,,,,,,,7.040,0.0172787725,7.040,-0.0455531275
7.050,0.1083850275,,,7.050,0.1586505475,7.050,-0.1068142300,7.050,0.1366593825,7.050,-0.2607523850,,,,,,,,,,,7.050,0.1366593825,,,,,,,7.050,0.0094247850,7.050,-0.0345575450
7.060,0.1036726350,,,7.060,0.1539381550,7.060,-0.1005310400,7.060,0.1445133700,7.060,-0.2638939800,,,,,,,,,,,7.060,0.1256638000,,,,,,,7.060,0.0031415950,7.060,-0.0219911650
7.070,0.0989602425,,,7.070,0.1492257625,7.070,-0.0942478500,7.070,0.1507965600,7.070,-0.2670355750,,,,,,,,,,,7.070,0.1162390150,,,,,,,7.070,-0.0047123925,7.070,-0.0094247850
7.080,0.0942478500,,,7.080,0.1445133700,7.080,-0.0863938625,7.080,0.1570797500,7.080,-0.2701771700,,,,,,,,,,,7.080,0.1068142300,,,,,,,7.080,-0.0125663800,7.080,0.0047123925
7.090,0.0895354575,,,7.090,0.1382301800,7.090,-0.0801106725,7.090,0.1649337375,7.090,-0.2733187650,,,,,,,,,,,7.090,0.0973894450,,,,,,,7.090,-0.0188495700,7.090,0.0172787725
7.100,0.0848230650,,,7.100,0.1335177875,7.100,-0.0738274825,7.100,0.1712169275,7.100,-0.2764603600,,,,,,,,,,,7.100,0.0863938625,,,,,,,7.100,-0.0267035575,7.100,0.0314159500
7.110,0.0801106725,,,7.110,0.1288053950,7.110,-0.0659734950,7.110,0.1775001175,7.110,-0.2796019550,,,,,,,,,,,7.110,0.0769690775,,,,,,,7.110,-0.0345575450,7.110,0.0439823300
7.120,0.0769690775,,,7.120,0.1240930025,7.120,-0.0581195075,7.120,0.1822125100,7.120,-0.2811727525,,,,,,,,,,,7.120,0.0659734950,,,,,,,7.120,-0.0424115325,7.120,0.0565487100
